selected_spin_case,cluster_id,example_rank,selected_C13,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C13,longitudinal_polarized_C13,Tx_C13,Ty_C13
Tx,0,1,0.9153811890143356,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.8999999999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.7360184235248091e+00,1.0040062069928772e-01,-2.0349894930699217e+00,1.6434738834117283e+01,8.3790042923251129e-01,4.9810428488012526e+01,4.8944362994561663e-01,3.3995809517304187e-01,4.8944362994561663e-01,3.3995809517304187e-01,2.4663788293402839e-17,-2.3715302412340169e-18,9.1538118901433563e-01,9.1538118512980426e-01
Tx,0,2,0.9153811887624569,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.8999999999999999e+00,4.1233403578366037e+00,9.8174770424681057e-01,1.7500000000000000e+00,4.5160394395353274e+00,1.7360184235248131e+00,1.0040062069928794e-01,-2.0349894930699222e+00,1.6434738834117280e+01,8.3790042923251107e-01,4.9810428488012583e+01,4.8944362994561619e-01,3.3995809517304321e-01,4.8944362994561619e-01,3.3995809517304321e-01,1.2954352297902833e-17,-9.3535354101305921e-18,9.1538118876245689e-01,9.1538119131168549e-01
Tx,1,1,0.9114998481325755,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.1000000000000001e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.3858672617985344e+00,8.1806665718577559e-02,-1.6862725853975060e+00,1.6434738834117280e+01,8.2093245279685112e-01,4.9810428488012583e+01,4.9016075697254724e-01,3.3995809517304321e-01,4.9016075697254724e-01,3.3995809517304321e-01,1.3622866651686825e-17,-1.3142764934448377e-17,9.1149984813257545e-01,9.1149984864331557e-01
Tx,1,2,0.9110621059753705,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.1000000000000001e+00,4.1233403578366037e+00,9.8174770424681057e-01,1.7500000000000000e+00,4.5160394395353274e+00,1.7768092630436807e+00,1.0251786281850570e-01,-2.4720528876505545e+00,1.6434738834117280e+01,8.3987711267498377e-01,4.9810428488012583e+01,6.8757990747649878e-01,3.3995809517304321e-01,6.8757990747649878e-01,3.3995809517304321e-01,1.3536752901755733e-17,-3.7854721371495471e-17,9.1106210597537052e-01,9.1106210047315961e-01
Ty,0,1,0.9153811913116855,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.8999999999999999e+00,4.1233403578366037e+00,9.8174770424681057e-01,1.7500000000000000e+00,4.5160394395353274e+00,1.7360184235248131e+00,1.0040062069928794e-01,-2.0349894930699222e+00,1.6434738834117280e+01,8.3790042923251107e-01,4.9810428488012583e+01,4.8944362994561619e-01,3.3995809517304321e-01,4.8944362994561619e-01,3.3995809517304321e-01,1.2954352297902833e-17,-9.3535354101305921e-18,9.1538118876245689e-01,9.1538119131168549e-01
Ty,0,2,0.9153811851298043,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.8999999999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.7360184235248091e+00,1.0040062069928772e-01,-2.0349894930699217e+00,1.6434738834117283e+01,8.3790042923251129e-01,4.9810428488012526e+01,4.8944362994561663e-01,3.3995809517304187e-01,4.8944362994561663e-01,3.3995809517304187e-01,2.4663788293402839e-17,-2.3715302412340169e-18,9.1538118901433563e-01,9.1538118512980426e-01
Ty,1,1,0.9114998526495637,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.1000000000000001e+00,5.1050880620834143e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.3858672617985315e+00,8.1806665718577365e-02,-1.6862725853975054e+00,1.6434738834117283e+01,8.2093245279685123e-01,4.9810428488012526e+01,4.9016075697254768e-01,3.3995809517304187e-01,4.9016075697254768e-01,3.3995809517304187e-01,6.5787479900432728e-17,1.0481354994493168e-17,9.1149985046747806e-01,9.1149985264956368e-01
Ty,1,2,0.9110621078543171,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.1000000000000001e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.7768092630436763e+00,1.0251786281850545e-01,-2.4720528876505536e+00,1.6434738834117283e+01,8.3987711267498377e-01,4.9810428488012526e+01,6.8757990747649922e-01,3.3995809517304187e-01,6.8757990747649922e-01,3.3995809517304187e-01,1.3327658715650571e-17,4.6538636247894194e-18,9.1106210389153941e-01,9.1106210785431707e-01
longitudinal_polarized,0,1,1.9603443748523725e-16,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0787824263128680e+00,1.1000000000000001e+00,3.5342917352885173e+00,3.9269908169872414e-01,1.7500000000000000e+00,3.7306412761378791e+00,1.1659031107213691e+01,6.2147866927081452e-01,-3.5056573516307665e+00,7.9809597549357676e+00,9.0909802588435074e-01,1.4206250479540549e+02,4.9016075697254746e-01,4.5668476347636897e+00,4.9016075697254746e-01,4.5668476347636897e+00,2.3122310399747885e-16,1.9603443748523725e-16,5.6746336842248879e-01,5.6746337233982769e-01
longitudinal_polarized,0,2,1.44727563332453e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3522900305919534e+00,1.8999999999999999e+00,3.7306412761378791e+00,5.8904862254808599e-01,1.7500000000000000e+00,3.9269908169872414e+00,9.5917459484716581e+00,5.1296435480376767e-01,-3.0234895663802881e+00,9.9867578290501910e+00,9.0611842302393186e-01,1.2969726322004831e+02,2.7982040665874197e-01,3.5639485977049308e+00,2.7982040665874197e-01,3.5639485977049308e+00,2.4032960358768425e-16,1.4472756333245300e-16,7.3068445646422209e-01,7.3068446437474344e-01
longitudinal_polarized,1,1,1.7773114172158896e-16,high_s_low_theta_in_high_Egamma,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,7.9554472528198117e-01,1.1000000000000001e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.7500000000000000e+00,1.9634954084936207e-01,1.8760323653669346e+01,8.3298218138884317e-01,-7.0909138157912714e+00,4.6413990525353697e+00,9.1892834391912714e-01,1.5772889418548948e+02,1.1022769785333080e+00,6.9369818974736592e+00,1.1022769785333080e+00,6.9369818974736592e+00,2.1353847139809125e-16,1.7773114172158896e-16,1.3126595366733110e-01,1.3126595493407389e-01
longitudinal_polarized,1,2,1.200221588735701e-16,mid_s_low_theta_in_mid_Egamma,mid_s,low_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.1749271241549080e-01,1.1000000000000001e+00,1.1780972450961720e+00,4.3196898986859651e+00,1.2500000000000000e+00,9.8174770424681035e-01,1.7459204955040651e+01,9.2708752486989832e-01,-7.9362517694783099e+00,2.2529547505242205e+00,9.1259525613320791e-01,1.6578935571310214e+02,3.5011482640896152e-01,5.1115914191894687e+00,3.5011482640896152e-01,5.1115914191894687e+00,1.3934934202186042e-16,1.2002215887357011e-16,5.4579305712259170e-02,5.4579304997291286e-02
longitudinal_polarized,2,1,1.7604936841858295e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.2571400462762903e+00,1.8999999999999999e+00,5.6941366846315002e+00,2.5525440310417071e+00,1.7500000000000000e+00,5.8904862254808616e+00,1.3052742517141452e+01,6.4533340961572783e-01,-3.2027153565763129e+00,8.0534562982924474e+00,8.2526733122609275e-01,1.3753189661654577e+02,3.0593969431357515e-01,5.2309532745962048e+00,3.0593969431357515e-01,5.2309532745962048e+00,2.4839377915119231e-16,1.7604936841858295e-16,5.5970961255091123e-01,5.5970961014740517e-01
longitudinal_polarized,2,2,1.6332054037966821e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.7211075708979078e+00,1.8999999999999999e+00,5.4977871437821380e+00,2.3561944901923448e+00,1.7500000000000000e+00,5.4977871437821380e+00,8.9157794242008546e+00,4.4499443754357354e-01,-2.8572943186228286e+00,1.1999774400436735e+01,8.1748871346714613e-01,1.1365121344499558e+02,2.2855167073634863e-01,3.2577942235250608e+00,2.2855167073634863e-01,3.2577942235250608e+00,2.5234960647120870e-16,1.6332054037966821e-16,7.5469670638165676e-01,7.5469670200385175e-01
longitudinal_polarized,3,1,1.6289888398117756e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.6655531105644910e+00,1.8999999999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.2500000000000000e+00,5.3014376029327757e+00,3.1345669281913655e+00,2.7555395599880250e-01,-1.3945104255519361e+00,9.1207876023306067e+00,7.1532779670038815e-01,8.1708154837011065e+01,1.3028454316048199e-01,1.0003127944801939e+00,1.3028454316048199e-01,1.0003127944801939e+00,1.9233540377053997e-16,1.6289888398117756e-16,7.5043164887054548e-01,7.5043165204255324e-01
longitudinal_polarized,3,2,1.4686290244881743e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.0277640192872908e+00,1.8999999999999999e+00,5.1050880620834143e+00,1.9634954084936211e+00,1.2500000000000000e+00,6.0868357663302239e+00,4.7118106749139663e+00,5.4210389743030707e-01,-7.5142157772007323e-01,4.8597448166451169e+00,5.4656209179625403e-01,1.3615487032500633e+02,1.1506396387244222e+00,3.1308341873219176e+00,1.1506396387244222e+00,3.1308341873219176e+00,1.9091531473416823e-16,1.4686290244881743e-16,3.2121905884582991e-01,3.2121906124433419e-01
longitudinal_polarized,4,1,1.5085011318363912e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.1707123323773092e+00,1.8999999999999999e+00,3.3379421944391554e+00,1.9634954084936229e-01,1.2500000000000000e+00,3.5342917352885173e+00,8.8914165905455853e+00,6.4609448672905490e-01,-3.8690189888240636e+00,5.7502173228146791e+00,8.6538453205808941e-01,1.2655637051242584e+02,1.7439913337707433e-01,2.6855979342379266e+00,1.7439913337707433e-01,2.6855979342379266e+00,1.7548915274054513e-16,1.5085011318363912e-16,5.4216828284095664e-01,5.4216828495126490e-01
longitudinal_polarized,4,2,1.0858927350825355e-16,high_s_low_theta_in_low_Egamma,high_s,low_theta_in,low_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.7763261981639231e+00,1.1000000000000001e+00,3.9269908169872414e+00,7.8539816339744828e-01,7.5000000000000000e-01,2.5525440310417071e+00,6.2792682864629388e+00,8.0378538488860496e-01,-3.2678419572441375e+00,2.4126962179838696e+00,3.1874689724131339e-01,1.3962362263170797e+02,1.5069004794297340e+00,3.0126136440394644e+00,1.5069004794297340e+00,3.0126136440394644e+00,1.2020259132247681e-16,1.0858927350825355e-16,1.0488831024103773e-01,1.0488831832455266e-01
longitudinal_polarized,5,1,1.298747396575698e-16,low_s_low_theta_in_mid_Egamma,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,8.0279415045979530e-01,1.1000000000000001e+00,5.4977871437821380e+00,2.3561944901923448e+00,1.2500000000000000e+00,1.9634954084936207e-01,6.6961984196745048e+00,7.1302591129783921e-01,-1.5994706180051610e+00,3.5748869273421588e+00,5.9055072412075438e-01,1.5076162592883679e+02,1.2248992311385374e+00,3.7732631319737155e+00,1.2248992311385374e+00,3.7732631319737155e+00,1.6925156058432478e-16,1.2987473965756979e-16,2.0102023391358861e-01,2.0102022927371241e-01
longitudinal_polarized,5,2,1.1517610087117634e-16,mid_s_high_theta_in_mid_Egamma,mid_s,high_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1814152040412673e+00,1.8999999999999999e+00,4.9087385212340520e+00,1.7671458676442588e+00,1.2500000000000000e+00,1.9634954084936207e-01,3.4857565274865863e+00,5.2175648321687851e-01,-6.4556165118685993e-01,4.0748986164310281e+00,3.2374545182775821e-01,1.4195113275981470e+02,2.7805220480843449e+00,4.2006194862346087e+00,2.7805220480843449e+00,4.2006194862346087e+00,1.3572754014621407e-16,1.1517610087117634e-16,1.4164331969368832e-01,1.4164331972853725e-01
longitudinal_polarized,6,1,1.2497110268611601e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.8999999999999999e+00,4.9087385212340520e+00,1.7671458676442588e+00,1.7500000000000000e+00,4.1233403578366037e+00,2.1430063494128060e+00,1.3788531830616360e-01,-7.2280923534400188e-01,1.4278784942280911e+01,6.3413608040166913e-01,9.5621746328710699e+01,1.4081903955687580e+00,2.1182889526029824e+00,1.4081903955687580e+00,2.1182889526029824e+00,1.2762292505470694e-16,1.2497110268611601e-16,7.5784378532743979e-01,7.5784378947428399e-01
longitudinal_polarized,6,2,1.1583884579385542e-16,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3522900305919534e+00,1.1000000000000001e+00,4.9087385212340520e+00,1.7671458676442588e+00,1.7500000000000000e+00,3.9269908169872414e+00,4.1250320916110956e+00,3.1174795576892289e-01,-9.2779434772703162e-01,9.9867578290501928e+00,6.4120691610105129e-01,1.2969726322004831e+02,1.9653297257623952e+00,3.5639485977049308e+00,1.9653297257623952e+00,3.5639485977049308e+00,2.1452146589435938e-16,1.1583884579385542e-16,6.8225744415321721e-01,6.8225744656083487e-01
longitudinal_polarized,7,1,1.2378803741460696e-16,high_s_low_theta_in_high_Egamma,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.1000000000000001e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.7500000000000000e+00,5.3014376029327757e+00,3.1093790641526939e+00,1.8835224074532772e-01,-1.0773551160129924e+00,1.4278784942280920e+01,6.7356561867193387e-01,9.5621746328710671e+01,1.1022769785333080e+00,2.1182889526029811e+00,1.1022769785333080e+00,2.1182889526029811e+00,1.6758933995446216e-16,1.2378803741460696e-16,7.6676662315647059e-01,7.6676661656808942e-01
longitudinal_polarized,7,2,1.2067180396956809e-16,high_s_low_theta_in_high_Egamma,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.7211075708979078e+00,1.1000000000000001e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.7500000000000000e+00,5.4977871437821380e+00,4.3657885823125211e+00,2.8192353142762777e-01,-9.9818518276617429e-01,1.1999774400436735e+01,6.3184187628602950e-01,1.1365121344499558e+02,1.5739925237521875e+00,3.2577942235250608e+00,1.5739925237521875e+00,3.2577942235250608e+00,1.3364229615964352e-16,1.2067180396956809e-16,6.8615113771075242e-01,6.8615114269497390e-01
unpolarized,0,1,4.606139159688957e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,5.0391363676019774e-01,1.8999999999999999e+00,1.7671458676442597e+00,4.9087385212340520e+00,1.7500000000000000e+00,1.9634954084936207e+00,2.0992631954894875e+01,9.0916769585179724e-01,-6.0663053892445031e+00,2.9771568932081207e+00,9.4210634278062078e-01,1.7502557770185405e+02,3.0593969431357637e-01,7.7691029771385836e+00,3.0593969431357637e-01,7.7691029771385836e+00,4.6061391596889572e-16,-1.7065000215260132e-15,1.5488638872503754e-02,1.5488638976394017e-02
unpolarized,0,2,4.4269256948029033e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,5.0391363676019774e-01,1.8999999999999999e+00,2.1598449493429825e+00,5.3014376029327757e+00,1.7500000000000000e+00,1.9634954084936207e+00,2.0646299537525888e+01,9.0778453072942955e-01,-5.7199729718755083e+00,2.9771568932081172e+00,9.2797543128384963e-01,1.7502557770185405e+02,3.0593969431357637e-01,7.7691029771385836e+00,3.0593969431357637e-01,7.7691029771385836e+00,4.4269256948029033e-16,-7.3161380402688996e-16,1.8903075919338895e-02,1.8903076296065604e-02
unpolarized,1,1,4.339378701384515e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.2571400462762903e+00,1.8999999999999999e+00,3.3379421944391554e+00,1.9634954084936229e-01,1.7500000000000000e+00,3.5342917352885173e+00,1.5138656423182962e+01,6.7849023387801499e-01,-5.2886292626178184e+00,8.0534562982924367e+00,9.1037592435196368e-01,1.3753189661654579e+02,3.0593969431357565e-01,5.2309532745962075e+00,3.0593969431357565e-01,5.2309532745962075e+00,4.3393787013845149e-16,-4.8301071845502144e-17,5.1614543150101844e-01,5.1614543320535600e-01
unpolarized,1,2,3.9027312241446895e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,7.9554472528198117e-01,1.8999999999999999e+00,2.9452431127404317e+00,6.0868357663302239e+00,1.7500000000000000e+00,2.9452431127404308e+00,1.8783611651622330e+01,8.3315470220756127e-01,-5.3667511981503360e+00,4.6413990525353670e+00,9.1987853114246154e-01,1.5772889418548948e+02,2.2855167073634880e-01,6.9369818974736610e+00,2.2855167073634880e-01,6.9369818974736610e+00,3.9027312241446895e-16,-1.0798724034179737e-15,2.2775309650883449e-01,2.2775309377597436e-01
unpolarized,2,1,4.1737147168874013e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.0710237988941456e+00,1.8999999999999999e+00,5.6941366846315002e+00,2.5525440310417071e+00,1.7500000000000000e+00,6.0868357663302239e+00,1.3774684952685902e+01,7.0679407898674551e-01,-2.9237055633543214e+00,6.5941238847575390e+00,7.9518065150737738e-01,1.4572007796360367e+02,5.3512978669888878e-01,5.9606194813642572e+00,5.3512978669888878e-01,5.9606194813642572e+00,4.1737147168874013e-16,-1.0713754503928296e-16,4.4337378438709785e-01,4.4337378792896637e-01
unpolarized,2,2,3.5244649415059553e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.5456471412808548e-01,1.8999999999999999e+00,5.8904862254808616e+00,2.7488935718910685e+00,1.7500000000000000e+00,6.0868357663302239e+00,1.3933190799476687e+01,7.5791954098300085e-01,-2.7082993341887995e+00,5.3301227458601739e+00,8.9084461840167029e-01,1.5840998060287788e+02,2.7982040665874225e-01,5.8922661393018085e+00,2.7982040665874225e-01,5.8922661393018085e+00,3.5244649415059553e-16,1.4805095820970040e-16,2.9981027276132616e-01,2.9981027256012288e-01
unpolarized,3,1,3.417819938495095e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.5000449885123774e+00,1.8999999999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.2500000000000000e+00,5.4977871437821380e+00,4.1044190076333216e+00,3.6715158565867878e-01,-1.2863146846680213e+00,7.9545106015705569e+00,7.0297598129777261e-01,1.0011937047390110e+02,1.7439913337707447e-01,1.5834512948598096e+00,1.7439913337707447e-01,1.5834512948598096e+00,3.4178199384950952e-16,-6.0338182090012217e-17,6.9764444322910590e-01,6.9764444048566254e-01
unpolarized,3,2,2.9593162113078247e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.1707123323773092e+00,1.8999999999999999e+00,5.1050880620834143e+00,1.9634954084936211e+00,1.2500000000000000e+00,5.8904862254808616e+00,4.5005996297406208e+00,4.8027026142609702e-01,-7.3486515893108106e-01,5.7502173228146871e+00,5.8927618387802883e-01,1.2655637051242584e+02,8.0273069883306436e-01,2.6855979342379248e+00,8.0273069883306436e-01,2.6855979342379248e+00,2.9593162113078247e-16,2.9950731436765768e-18,4.5898682327606433e-01,4.5898682131987589e-01
unpolarized,4,1,3.312240324589607e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.6914690428030391e-01,1.8999999999999999e+00,5.8904862254808599e-01,3.7306412761378791e+00,1.7500000000000000e+00,5.8904862254808621e-01,1.6506034930763743e+01,8.5090740549711963e-01,-3.5814239844903635e+00,3.7719654657251782e+00,9.4001533225862233e-01,1.7328084067990298e+02,2.0903930623147593e-01,6.6713447793683756e+00,2.0903930623147593e-01,6.6713447793683756e+00,3.3122403245896069e-16,-3.6083581708476323e-15,3.6119102744282761e-02,3.6119103481418190e-02
unpolarized,4,2,3.1253909286897895e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0921943434638879e-01,1.8999999999999999e+00,9.8174770424681057e-01,4.1233403578366037e+00,1.7500000000000000e+00,9.8174770424681035e-01,1.6674727316240570e+01,8.5821510183676530e-01,-3.6128106950270125e+00,3.6346597907882647e+00,9.4153630098026930e-01,1.7654267567801696e+02,2.0903930623147593e-01,6.7399976168374840e+00,2.0903930623147593e-01,6.7399976168374840e+00,3.1253909286897895e-16,-2.8640235344576645e-15,1.0259053458064590e-02,1.0259053932104256e-02
unpolarized,5,1,3.3049608216512496e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.2571400462762903e+00,1.8999999999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.7500000000000000e+00,3.5342917352885173e+00,5.6632970118989538e+00,4.4117293929955465e-01,-6.3102633062594693e-01,8.0534562982924385e+00,5.2376624380826531e-01,1.3753189661654579e+02,2.7148179339596439e+00,5.2309532745962075e+00,2.7148179339596439e+00,5.2309532745962075e+00,3.3049608216512496e-16,-1.2409399671088703e-16,4.0750816885770375e-01,4.0750817151487784e-01
unpolarized,5,2,2.840936569640251e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0787824263128680e+00,1.8999999999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.7500000000000000e+00,3.7306412761378791e+00,6.0421989761121404e+00,4.5971652507406707e-01,-6.0086668328983217e-01,7.9809597549357667e+00,6.3691193695715798e-01,1.4206250479540549e+02,1.8461814883528560e+00,4.5668476347636897e+00,1.8461814883528560e+00,4.5668476347636897e+00,2.8409365696402510e-16,-2.7094432955368600e-16,4.4563208082716121e-01,4.4563208224798512e-01
unpolarized,6,1,3.240389937257338e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.5000449885123774e+00,1.8999999999999999e+00,4.1233403578366037e+00,9.8174770424681057e-01,1.2500000000000000e+00,3.9269908169872414e+00,4.1044190076333251e+00,3.6715158565867917e-01,-1.2863146846680218e+00,7.9545106015705551e+00,7.0297598129777250e-01,1.0011937047390113e+02,1.7439913337707469e-01,1.5834512948598107e+00,1.7439913337707469e-01,1.5834512948598107e+00,3.2403899372573382e-16,-5.0301822440499443e-17,6.9764443452468550e-01,6.9764443903454454e-01
unpolarized,6,2,3.138105033166669e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.0277640192872908e+00,1.8999999999999999e+00,3.3379421944391554e+00,1.9634954084936229e-01,1.2500000000000000e+00,3.3379421944391554e+00,9.5039829017533819e+00,7.0484017069840066e-01,-3.5028836134316057e+00,4.8597448166451143e+00,8.4790891849349370e-01,1.3615487032500633e+02,1.3028454316048149e-01,3.1308341873219185e+00,1.3028454316048149e-01,3.1308341873219185e+00,3.1381050331666689e-16,-4.1165559453047282e-18,4.6442429529315077e-01,4.6442429307173505e-01
unpolarized,7,1,2.817299587221038e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,8.0279415045979530e-01,1.8999999999999999e+00,2.9452431127404317e+00,6.0868357663302239e+00,1.2500000000000000e+00,2.9452431127404308e+00,1.1424591254099393e+01,8.0912799207755348e-01,-4.1386340764739415e+00,3.5748869273421580e+00,8.8788690249338853e-01,1.5076162592883679e+02,1.3028454316048177e-01,3.7732631319737173e+00,1.3028454316048177e-01,3.7732631319737173e+00,2.8172995872210381e-16,-7.2048796520609984e-17,2.7101458915397481e-01,2.7101459027378083e-01
