spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
unpolarized,pure_initial_state,user_frame_independent,s,1.5491407679999998e+01,qOut,2.9999999999999999e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.6828073846391449e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,7.4188251104480321e+00,8.6519240697604660e-01,-6.2538072062274583e+00,2.0357879821029909e+00,5.8684814851732725e-01,2.2203278958711016e+04,2.2203278958711016e+04,1.0000000000000004e+00,True,1,1,1.5961903129471757e-17,1.9216866008807644e-17,6.5890408256964140e-03,0.0000000000000000e+00,6.5890418151913982e-03,6.5890418151576986e-03,0.0000000000000000e+00,-6.2407029071510686e-34,1.3039646680403517e-11,1.3039202584417403e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.6782358319999997e+01,qOut,2.9999999999999999e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.7690374255446943e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.0873095812001541e+00,8.7066020188654647e-01,-6.8731713220279218e+00,2.0812437955194540e+00,5.8410319209947514e-01,2.2216576374367971e+04,2.2216576374367971e+04,1.0000000000000000e+00,True,1,1,1.5788222234512735e-17,2.2057661829890918e-17,5.9905435258114856e-03,1.4901161193847656e-08,5.9905438333705263e-03,5.9905438333890592e-03,1.0307556673854726e-10,2.2204460492503131e-16,3.6848917336516560e-12,3.6851137782565810e-12
unpolarized,pure_initial_state,user_frame_independent,s,1.8073308959999999e+01,qOut,2.9999999999999999e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.8515410179402194e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.7549434060180058e+00,8.7546862892926780e-01,-7.4937454313009582e+00,2.1251942843745835e+00,5.8163341209336938e-01,2.2232820129436957e+04,2.2232820129436957e+04,1.0000000000000000e+00,True,1,1,3.5227128375274170e-18,9.5861640825608694e-18,5.4897599161272282e-03,0.0000000000000000e+00,5.4897603767121187e-03,5.4897603766716719e-03,0.0000000000000000e+00,-1.0430404755346054e-34,5.0570011502978907e-12,5.0565570644761724e-12
unpolarized,pure_initial_state,user_frame_independent,s,1.9364259599999997e+01,qOut,2.9999999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.9307630924636907e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.4218077742891033e+00,8.7974200188956631e-01,-8.1153718161423498e+00,2.1677758471593913e+00,5.7939292500264350e-01,2.2250991860797243e+04,2.2250991860797243e+04,9.9999999999999989e-01,True,1,1,1.9769696436584390e-17,6.9239224204518861e-18,5.0647425183565197e-03,2.1073424255447017e-08,5.0647426875515683e-03,5.0647426875954100e-03,1.2324288748792318e-10,4.4408920985006271e-16,1.7138587403919218e-12,1.7143028329899036e-12
unpolarized,pure_initial_state,user_frame_independent,s,2.0655210239999995e+01,qOut,2.9999999999999999e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,2.0070665971092763e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0087972679678296e+01,8.8357407715694158e-01,-8.7379243249322673e+00,2.2091060949522152e+00,5.7734631238012990e-01,2.2270386051345704e+04,2.2270386051345704e+04,9.9999999999999989e-01,True,1,1,1.3645814758621574e-17,1.4210293521929111e-17,4.6996314455147788e-03,0.0000000000000000e+00,4.6996331551786537e-03,4.6996331552731484e-03,0.0000000000000000e+00,-3.8814070240599488e-34,1.6069583140418614e-11,1.6070471322226446e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,2.2492871405014645e+00,5.7546565762786428e-01,2.2290508113777141e+04,2.2290508113777141e+04,1.0000000000000000e+00,True,1,1,1.2106033925012996e-18,6.1183911207985157e-18,4.3826911210735117e-03,2.5809568279517847e-08,4.3826938762278715e-03,4.3826938762785358e-03,1.3061445582552950e-10,6.6613381477509383e-16,2.4149988690140393e-11,2.4150432782738375e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,2.2311008287530101e+04,1.0000000000000000e+00,True,1,1,1.5082055738462058e-17,1.0116242979479826e-17,4.1050518825958083e-03,1.4901161193847656e-08,4.1050533702561400e-03,4.1050533702831852e-03,7.0633103504571870e-11,2.2204460492503131e-16,1.2213847903848113e-11,1.2214069948453038e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,2.9999999999999999e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.2212409476235768e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2082839084930187e+01,8.9307075451908147e-01,-1.0610196190282775e+01,2.3265478138704756e+00,5.7211679997461007e-01,2.2331637846226116e+04,2.2331637846226116e+04,1.0000000000000002e+00,True,1,1,6.9779024315365555e-18,1.2491009265449780e-17,3.8598823836529413e-03,0.0000000000000000e+00,3.8598839539493381e-03,3.8598839538918120e-03,0.0000000000000000e+00,-2.0471643481359601e-34,1.2122321264065308e-11,1.2121877176549524e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.5819012799999996e+01,qOut,2.9999999999999999e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.2884421503451335e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2746740279672110e+01,8.9572303034623701e-01,-1.1235584697023736e+01,2.3637753094517331e+00,5.7061531213196826e-01,2.2352219525822627e+04,2.2352219525822627e+04,1.0000000000000000e+00,True,1,1,2.6994024319535370e-18,1.9206421708596142e-17,3.6418438814187701e-03,0.0000000000000000e+00,3.6418466274836560e-03,3.6418466275141411e-03,0.0000000000000000e+00,-3.7617340833806982e-34,2.0001486745815380e-11,2.0001708790420305e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.5491407679999998e+01,qOut,4.5624999999999999e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.5787096045608233e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,7.7326424865096959e+00,8.2189507721188892e-01,-5.8785123532048580e+00,2.5555100688123584e+00,6.4389470979070840e-01,8.7501908308812326e+03,8.7501908308812326e+03,1.0000000000000000e+00,True,1,1,8.7665314484475623e-19,4.1547245774435445e-17,1.1475830611864040e-02,0.0000000000000000e+00,1.1475831279195782e-02,1.1475831279215129e-02,0.0000000000000000e+00,-1.7269421521777100e-33,1.5316372519239008e-11,1.5316816554238749e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.6782358319999997e+01,qOut,4.5624999999999999e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.6666115938939907e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.4141461029729196e+00,8.2822509787604526e-01,-6.4856195433940966e+00,2.6249482319308473e+00,6.3884553916903963e-01,8.7886797304044449e+03,8.7886797304044449e+03,9.9999999999999989e-01,True,1,1,9.7330703681548227e-18,4.9303479084027900e-17,1.0363526614493751e-02,0.0000000000000000e+00,1.0363526909604012e-02,1.0363526909625437e-02,0.0000000000000000e+00,-2.5255657085806302e-33,6.1167661783096197e-12,6.1172102675194698e-12
unpolarized,pure_initial_state,user_frame_independent,s,1.8073308959999999e+01,qOut,4.5624999999999999e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.7505354232832087e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.0941970882746670e+00,8.3383833387101947e-01,-7.0943850599633258e+00,2.6920741157322250e+00,6.3433561701380814e-01,8.8244918683193355e+03,8.8244918683193355e+03,1.0000000000000000e+00,True,1,1,1.1054020544958876e-17,4.6588988160497385e-17,9.4421274577716086e-03,2.1073424255447017e-08,9.4421274577405831e-03,9.4421274577876149e-03,2.2975995498850901e-10,4.4408920985006271e-16,-5.8588930148401053e-16,3.0227556568895864e-16
unpolarized,pure_initial_state,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,2.7570974721560724e+00,6.3027177162149894e-01,8.8579618456615190e+03,8.8579618456615190e+03,1.0000000000000002e+00,True,1,1,1.8165074617855255e-17,3.8484904332496683e-17,8.6668742603250616e-03,0.0000000000000000e+00,8.6668751249034011e-03,8.6668751248777810e-03,0.0000000000000000e+00,-1.8110577973536712e-33,1.4986384258130342e-11,1.4985940168920492e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.0655210239999995e+01,qOut,4.5624999999999999e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,1.9083511737992174e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0450541510368373e+01,8.4340477384789647e-01,-8.3161121541771479e+00,2.8201992860648333e+00,6.2658241804745507e-01,8.8893561812833250e+03,8.8893561812833250e+03,9.9999999999999978e-01,True,1,1,4.8905978492111108e-19,1.0228454058466104e-17,8.0059200602882498e-03,0.0000000000000000e+00,8.0059204168665497e-03,8.0059204169081518e-03,0.0000000000000000e+00,-1.0486045189937880e-34,5.7094748579563509e-12,5.7101409782185988e-12
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,4.5624999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,1.9829761515836033e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1127076769227312e+01,8.4753386471416281e-01,-8.9287728167114029e+00,2.8815367495930380e+00,6.2321143243053478e-01,8.9188942798901371e+03,8.9188942798901371e+03,1.0000000000000000e+00,True,1,1,7.4213382935124730e-18,2.7618861596718695e-17,7.4359915080298980e-03,0.0000000000000000e+00,7.4359934806261744e-03,7.4359934806261744e-03,0.0000000000000000e+00,-8.1787777796545729e-34,2.9336422207497728e-11,2.9336422207497728e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,4.5624999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.0551307971104578e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1802652359746858e+01,8.5131311387709308e-01,-9.5424731791078514e+00,2.9412472589838616e+00,6.2011404597312458e-01,8.9467608613934644e+03,8.9467608613934644e+03,9.9999999999999989e-01,True,1,1,1.9357019468602379e-17,3.0651224609239628e-17,6.9397041488185500e-03,1.4901161193847656e-08,6.9397054987622711e-03,6.9397054987622711e-03,1.1940720193996471e-10,2.2204460492503131e-16,1.8736421905619048e-11,1.8736421905619048e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,4.5624999999999999e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.1250467748482542e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2477349874807423e+01,8.5479113501449111e-01,-1.0157117720712021e+01,2.9994516317721205e+00,6.1725401075966480e-01,8.9731139189239639e+03,8.9731139189239639e+03,9.9999999999999989e-01,True,1,1,1.2815394483794796e-17,3.6451800859485603e-17,6.5038065220005712e-03,2.5809568279517847e-08,6.5038067784719666e-03,6.5038067785231782e-03,1.9382854635229805e-10,6.6613381477509383e-16,3.3360807334941595e-12,3.3367468740851981e-12
unpolarized,pure_initial_state,user_frame_independent,s,2.5819012799999996e+01,qOut,4.5624999999999999e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.1929215308402652e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.3151240173804240e+01,8.5800743760291243e-01,-1.0772624900324599e+01,3.0562567082569743e+00,6.1460159338033826e-01,8.9980901587617573e+03,8.9980901587617573e+03,1.0000000000000000e+00,True,1,1,9.8436722607493957e-18,1.0717240514083456e-17,6.1180270325476701e-03,0.0000000000000000e+00,6.1180282633873529e-03,6.1180282634054999e-03,0.0000000000000000e+00,-2.1175712781375896e-34,1.5060622413358600e-11,1.5060844464739789e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.5491407679999998e+01,qOut,6.1250000000000004e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.4627142137467350e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.0779557016737691e+00,7.9144750198568992e-01,-5.4679285796938544e+00,3.0084473959375164e+00,6.9852613458351531e-01,4.4532953163937236e+03,4.4532953163937236e+03,1.0000000000000000e+00,True,1,1,3.7138038728513777e-17,5.0214300344876056e-17,1.7693405692685175e-02,2.1073424255447017e-08,1.7693406326170794e-02,1.7693406326164521e-02,4.3054240257715035e-10,4.4408920985006271e-16,2.2417036488805303e-11,2.2416814498410487e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.6782358319999997e+01,qOut,6.1250000000000004e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.5532327316436296e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.7722799075844122e+00,7.9784041102065495e-01,-6.0633072903855174e+00,3.1025949111256583e+00,6.9140203853688953e-01,4.4873107094134721e+03,4.4873107094134721e+03,1.0000000000000000e+00,True,1,1,1.3900280852775345e-18,1.9616071275847808e-17,1.5863577075677742e-02,1.4901161193847656e-08,1.5863577557263208e-02,1.5863577557249209e-02,2.7295472547768908e-10,2.2204460492503131e-16,1.5279336552497663e-11,1.5278892409077705e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.8073308959999999e+01,qOut,6.1250000000000004e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.6393515577931448e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.4645637892817920e+00,8.0356190648378678e-01,-6.6607273666657454e+00,3.1935436063745279e+00,6.8504303367925201e-01,4.5184111766028400e+03,4.5184111766028400e+03,1.0000000000000000e+00,True,1,1,6.3799192741406533e-18,2.0015432068236606e-17,1.4364232549796111e-02,0.0000000000000000e+00,1.4364233243334202e-02,1.4364233243326474e-02,0.0000000000000000e+00,-4.4132089082274571e-34,1.9924285338994777e-11,1.9924063321494906e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,4.5470775026636347e+03,9.9999999999999989e-01,True,1,1,9.5849547988402271e-18,7.2319730211894199e-17,1.3114322803508908e-02,0.0000000000000000e+00,1.3114323549700799e-02,1.3114323549700799e-02,0.0000000000000000e+00,-5.3220147364169725e-33,1.9571603208532948e-11,1.9571603208532948e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.0655210239999995e+01,qOut,6.1250000000000004e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,1.8006566704830158e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0843892637163506e+01,8.1343201700266654e-01,-7.8607785604515277e+00,3.3669887580955016e+00,6.7412341361820505e-01,4.5736653180608027e+03,4.5736653180608027e+03,1.0000000000000000e+00,True,1,1,2.9809983226745214e-18,7.8021758522656835e-18,1.2057167361321683e-02,0.0000000000000000e+00,1.2057169098655797e-02,1.2057169098637381e-02,0.0000000000000000e+00,-6.9760299029466051e-35,4.1894659372513840e-11,4.1894215283303990e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,6.1250000000000004e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,1.8766960530645596e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1531288248625277e+01,8.1774038721729048e-01,-8.4630530961440780e+00,3.4499605845949484e+00,6.6938159686603116e-01,4.5984490770634975e+03,4.5984490770634975e+03,1.0000000000000000e+00,True,1,1,3.8615807027866549e-18,4.2128856370378278e-17,1.1151957609896197e-02,0.0000000000000000e+00,1.1151958610948733e-02,1.1151958610968644e-02,0.0000000000000000e+00,-1.7897523446000966e-33,2.2327391888468662e-11,2.2327835977678512e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,6.1250000000000004e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,1.9500995576598310e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2217360158631273e+01,8.2171001213775696e-01,-9.0666373943686907e+00,3.5306976615297367e+00,6.6502821987796379e-01,4.6216474688314192e+03,4.6216474688314192e+03,1.0000000000000000e+00,True,1,1,6.0558981079197307e-18,9.4688578237089765e-17,1.0368571801215171e-02,2.9802322387695312e-08,1.0368572556407643e-02,1.0368572556439765e-02,3.5681117516173014e-10,8.8817841970012523e-16,1.5660535327842624e-11,1.5661201448104872e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,6.1250000000000004e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.0211276565084084e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2902224394736132e+01,8.2538584802336168e-01,-9.6714161250070845e+00,3.6093685934909479e+00,6.6101170424195188e-01,4.6434390472718378e+03,4.6434390472718378e+03,1.0000000000000000e+00,True,1,1,7.1841653962705038e-18,5.3724595106102192e-17,9.6843060445949373e-03,0.0000000000000000e+00,9.6843072323528120e-03,9.6843072323528120e-03,0.0000000000000000e+00,-2.9379443517555900e-33,2.3005222943642267e-11,2.3005222943642267e-11
